Analyze with upper bound?[n]Build multiple models?[n]What's the threshold of p-value?[0.05]Allow Early Termination?[n]xmax=inf	_xmin=26552	a=6.4152024826519	D=0.249796073730284	p=1
xmax=inf	_xmin=3609	a=3.06014482220036	D=0.04516658094517	p=0.85
xmax=inf	_xmin=3604	a=3.06607947794435	D=0.0454695939266967	p=0.75
xmax=inf	_xmin=3578	a=3.04725284509139	D=0.0434385101562869	p=0.81
xmax=inf	_xmin=3576	a=3.05652723220922	D=0.0440357853325041	p=0.82
xmax=inf	_xmin=3563	a=3.05276569999485	D=0.0434432947290142	p=0.8
xmax=inf	_xmin=3552	a=3.0512729320744	D=0.0430622283010655	p=0.8
xmax=inf	_xmin=3549	a=3.05915974065352	D=0.043493647273281	p=0.77
xmax=inf	_xmin=3529	a=3.04677454066697	D=0.0422053394781173	p=0.8
xmax=inf	_xmin=3505	a=3.04087480963067	D=0.0412334473017464	p=0.83
xmax=inf	_xmin=3498	a=3.04368444463619	D=0.041223059450988	p=0.91
xmax=inf	_xmin=3497	a=3.05358802487679	D=0.0417537859422937	p=0.84
xmax=inf	_xmin=3479	a=3.04303077478584	D=0.0407308568216426	p=0.82
xmax=inf	_xmin=3462	a=3.03365650435832	D=0.0398205370841807	p=0.88
xmax=inf	_xmin=3453	a=3.03376082189178	D=0.0396099482898917	p=0.91
xmax=inf	_xmin=3448	a=3.03856686543717	D=0.0397297849998994	p=0.89
xmax=inf	_xmin=3445	a=3.04571914267619	D=0.0400026955043211	p=0.88
xmax=inf	_xmin=3421	a=3.027482389456	D=0.0385732172079003	p=0.89
xmax=inf	_xmin=3408	a=3.02248005997763	D=0.0380419720733638	p=0.86
xmax=inf	_xmin=3405	a=3.02939551047959	D=0.0382769331562522	p=0.83
xmax=inf	_xmin=3385	a=3.0158044138873	D=0.0372349908322143	p=0.92
xmax=inf	_xmin=3383	a=3.02378061457561	D=0.037518482816047	p=0.94
xmax=inf	_xmin=3381	a=3.03172394118051	D=0.0377881119149702	p=0.85
xmax=inf	_xmin=3363	a=3.02017366819046	D=0.0369298571495764	p=0.93
xmax=inf	_xmin=3357	a=3.02312584706493	D=0.0369026190919022	p=0.93
xmax=inf	_xmin=3349	a=3.02357128144207	D=0.0367361797548095	p=0.92
xmax=inf	_xmin=3336	a=3.02793962903095	D=0.0365789176051582	p=0.83
xmax=inf	_xmin=3333	a=3.03431362516068	D=0.0367124486035845	p=0.81
xmax=inf	_xmin=3319	a=3.0270214786102	D=0.0361710687950604	p=0.93
xmax=inf	_xmin=3301	a=3.01479114938045	D=0.0354095084471707	p=0.9
xmax=inf	_xmin=3295	a=3.01726917378951	D=0.0353461134274266	p=0.95
xmax=inf	_xmin=3282	a=3.01106656837983	D=0.0348926112690264	p=0.91
xmax=inf	_xmin=3279	a=3.01711576134484	D=0.0349820547605311	p=0.91
xmax=inf	_xmin=3276	a=3.0231213525163	D=0.0350625402557734	p=0.92
xmax=inf	_xmin=3256	a=3.00796436959163	D=0.0343726300871854	p=0.9
xmax=inf	_xmin=3247	a=3.00641560316677	D=0.0342042073182639	p=0.95
xmax=inf	_xmin=3245	a=3.01347747620815	D=0.03414725027319	p=0.96
xmax=inf	_xmin=3238	a=3.01425752230885	D=0.0340109590080624	p=0.92
xmax=inf	_xmin=3235	a=3.01998373609784	D=0.0340532917505288	p=0.92
xmax=inf	_xmin=3230	a=3.0231419884768	D=0.0340001049973855	p=0.99
xmax=inf	_xmin=3225	a=3.02624127232259	D=0.0339423494246861	p=0.9
xmax=inf	_xmin=3217	a=3.02546777311616	D=0.0337560455242871	p=0.95
xmax=inf	_xmin=3207	a=3.02208881692107	D=0.0334903855056931	p=0.92
xmax=inf	_xmin=3173	a=2.98854005168774	D=0.0331098199816148	p=0.95
xmax=inf	_xmin=3168	a=2.99141286308098	D=0.0329361573694229	p=0.95
xmax=inf	_xmin=3123	a=2.94507923875545	D=0.0424588367872106	p=0.81
xmax=inf	_xmin=3113	a=2.9418023926479	D=0.0431253091325559	p=0.74
xmax=inf	_xmin=3108	a=2.94451555623157	D=0.0422398024733789	p=0.7
xmax=inf	_xmin=3106	a=2.95082963830121	D=0.0404485199596736	p=0.83
xmax=inf	_xmin=3105	a=2.95834459278543	D=0.0383766502434203	p=0.75
xmax=inf	_xmin=3103	a=2.96460505737985	D=0.0366450954161515	p=0.88
xmax=inf	_xmin=3098	a=2.96710067475356	D=0.0358702237025196	p=0.84
xmax=inf	_xmin=3096	a=2.97329475240482	D=0.0341968959318956	p=0.9
xmax=inf	_xmin=3061	a=2.93848794121464	D=0.0424673427862893	p=0.73
xmax=inf	_xmin=3054	a=2.93838328092355	D=0.0423125453482629	p=0.73
xmax=inf	_xmin=3033	a=2.92114598621652	D=0.0461740627701552	p=0.57
xmax=inf	_xmin=3024	a=2.91854099292435	D=0.046581502762366	p=0.64
xmax=inf	_xmin=3023	a=2.92562162776599	D=0.0447675799950806	p=0.71
xmax=inf	_xmin=3022	a=2.94097968841925	D=0.0409385387893617	p=0.74
xmax=inf	_xmin=3019	a=2.99517704338372	D=0.0416890303990824	p=0.69
xmax=inf	_xmin=3018	a=3.02694089848704	D=0.0565388475309496	p=0.36
xmax=inf	_xmin=3017	a=3.04210978366503	D=0.0634318414239482	p=0.21
xmax=inf	_xmin=3015	a=3.05585497951739	D=0.0695197465941379	p=0.09
xmax=inf	_xmin=3014	a=3.06270162712647	D=0.0725125233065923	p=0.14
xmax=inf	_xmin=3011	a=3.07493463417011	D=0.0777208886432382	p=0.1
xmax=inf	_xmin=3010	a=3.08173061935409	D=0.0806124437015656	p=0.06
xmax=inf	_xmin=3006	a=3.08418542621249	D=0.0814398527234945	p=0.09
xmax=inf	_xmin=3005	a=3.09093780862999	D=0.0842624108890939	p=0.04
xmax=inf	_xmin=3000	a=3.09184968141074	D=0.0843496337552043	p=0.06
xmax=inf	_xmin=2998	a=3.10524913991741	D=0.089826058662004	p=0.04
xmax=inf	_xmin=2980	a=3.08694342750109	D=0.0811695077493754	p=0.04
xmax=inf	_xmin=2979	a=3.09353166544827	D=0.0838084861755357	p=0.04
xmax=inf	_xmin=2978	a=3.10010449907005	D=0.0864176386854665	p=0.03
xmax=inf	_xmin=2977	a=3.10666189883817	D=0.0889972879559866	p=0.03
xmax=inf	_xmin=2960	a=3.10537095901258	D=0.0873656445893559	p=0.06
